adsorption_measurement.adsorption_energy,adsorption_measurement.method.software,adsorption_measurement.method.exchange_correlation,adsorption_measurement.method.basis_set,adsorption_measurement.method.potentials,adsorption_measurement.method.is_spin_polarization,adsorption_measurement.method.is_zero_point_energy,adsorption_measurement.method.is_fixed_substrate,adsorption_measurement.adsorbate_species.formula,adsorption_measurement.adsorbate_species.smiles,adsorption_measurement.adsorbate_species.molecular_formula,adsorption_measurement.adsorbate_species.connectivity_smiles,adsorption_measurement.bulk_surface_property_set.termination,adsorption_measurement.bulk_surface_property_set.space_group,adsorption_measurement.bulk_surface_property_set.bulk_surface_material.name,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_1,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_2,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_3,adsorption_measurement.bulk_surface_property_set.facet.name,adsorption_measurement.bulk_surface_property_set.cell_symmetry.name,adsorption_measurement.adsorbate_fraction.numeric,adsorption_measurement.adsorbate_fraction.unit,adsorption_measurement.adsorption_site.site_name,adsorbate_num_atoms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,double,triple,termination_atomic_num,facet_num
-2.83,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,H,[H],H,[H],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,fcc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,111
-1.43,Dacapo,PW91,plane wave,ultrasoft pseudopotential,False,True,False,NH2,[NH2],NH2,[NH2],Au,Fm3m,Au,4.18,4.18,4.18,(111),2x2,0.25,Au,bridge,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,111
-0.9,Dacapo,RPBE,plane wave,ultrasoft pseudopotential,False,False,False,NH2,[NH2],NH2,[NH2],Au,Fm3m,Au,4.18,4.18,4.18,(111),2x2,0.25,Au,bridge,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,111
0.0,Dacapo,RPBE,plane wave,ultrasoft pseudopotential,False,False,False,NH3,N,NH3,N,Au,Fm3m,Au,4.18,4.18,4.18,(111),2x2,0.25,Au,top,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,111
-1.47,Dacapo,PW91,plane wave,ultrasoft pseudopotential,False,True,False,COOH,O[C]=O,COOH,O[C][O],Au,Fm3m,Au,4.18,4.18,4.18,(111),2x2,0.25,Au,top,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,111
-2.36,Dacapo,PW91,plane wave,ultrasoft pseudopotential,False,True,False,HCO3,[O]C(=O)O,HCO3,[O][C]([O])O,Au,Fm3m,Au,4.18,4.18,4.18,(111),2x2,0.25,Au,top,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,111
-2.69,Dacapo,RPBE,plane wave,ultrasoft pseudopotential,False,False,False,H,[H],H,[H],Pd,Fm3m,Pd,3.99,3.99,3.99,(111),2x2,0.25,Pd,fcc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,111
-3.79,Dacapo,PW91,plane wave,ultrasoft pseudopotential,False,True,False,O,[O],O,[O],Pd,Fm3m,Pd,3.99,3.99,3.99,(111),2x2,0.25,Pd,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,111
-6.3,Dacapo,PW91,plane wave,ultrasoft pseudopotential,False,True,False,C,[C],C,[C],Pd,Fm3m,Pd,3.99,3.99,3.99,(111),2x2,0.25,Pd,hcp,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,111
-5.8,Dacapo,RPBE,plane wave,ultrasoft pseudopotential,False,False,False,C,[C],C,[C],Pd,Fm3m,Pd,3.99,3.99,3.99,(111),2x2,0.25,Pd,hcp,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,111
-0.23,Dacapo,PW91,plane wave,ultrasoft pseudopotential,False,True,False,N2,N#N,N2,[N][N],Pd,Fm3m,Pd,3.99,3.99,3.99,(111),2x2,0.25,Pd,top,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0,111
-0.11,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,CO2,O=C=O,CO2,[O][C][O],Pt,Fm3m,Pt,4.0,4.0,4.0,(111),2x2,0.25,Pt,,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,78.0,111
-2.44,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,COOH,O[C]=O,COOH,O[C][O],Pt,Fm3m,Pt,4.0,4.0,4.0,(111),2x2,0.25,Pt,top H down,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78.0,111
-0.47,VASP,PW91,plane wave,projector augmented wave,True,,False,CO2,O=C=O,CO2,[O][C][O],Ni,,Ni,3.52,3.52,3.52,(110),2x3,0.1667,Ni,V-shaped,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28.0,110
0.36,Dacapo,RPBE,plane wave,ultrasoft pseudopotential,False,False,False,CH,[CH],CH,[CH],Mn,,Mn,,,,(211),,0.0000,Mn,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,211
-1.48,Crystal09,B3LYP-VWN5,Gaussian,effective core potential,,,True,CO,[C]#[O],CO,[C][O],Pt,,Pt,,,,(100),c(4x4),0.125,Pt,top,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.0,100
-1.71,VASP,PW91,plane wave,ultrasoft pseudopotential,False,,False,CO,[C]#[O],CO,[C][O],Pt,,Pt,3.991,,,(111),(√3x√3)R30°,0.3333,Pt,FCC,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.0,111
0.64,VASP,PW91,plane wave,projector augmented wave,False,False,False,CH2OHCH(O)CHOH,OCC([CH]O)[O],CH2OHCH(O)CHOH,OCC([CH]O)[O],Pt,Fm3m,Pt,3.99,,,(111),4x4,0.0625,Pt,,12,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,111
0.07,VASP,PW91,plane wave,projector augmented wave,False,False,False,CHOHCOHCHOH,O[CH][C]([CH]O)O,CHOHCOHCHOH,O[CH][C]([CH]O)O,Pt,Fm3m,Pt,3.99,,,(111),4x4,0.0625,Pt,,11,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,111
0.67,VASP,PW91,plane wave,projector augmented wave,False,False,False,CHOHCH(O)CHOH,O[CH]C([CH]O)[O],CHOHCH(O)CHOH,[O][CH]C([CH]O)O,Pt,Fm3m,Pt,3.99,,,(111),4x4,0.0625,Pt,,11,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,111
1.58,VASP,PW91,plane wave,projector augmented wave,False,False,False,CH2OHC(O)CH2(O),[O]C[C](CO)[O],CH2OHC(O)CH2(O),[O]C[C](CO)[O],Pt,Fm3m,Pt,3.99,,,(111),4x4,0.0625,Pt,,10,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,111
0.62,VASP,PW91,plane wave,projector augmented wave,False,False,False,CHOHCHOHC(O),[O][C]C([CH]O)O,CHOHCHOHC(O),[O][C]C([CH]O)O,Pt,Fm3m,Pt,3.99,,,(111),4x4,0.0625,Pt,,10,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,111
0.52,VASP,PW91,plane wave,projector augmented wave,False,False,False,COHCOHCOH,O[C][C]([C]O)O,COHCOHCOH,O[C][C]([C]O)O,Pt,Fm3m,Pt,3.99,,,(111),4x4,0.0625,Pt,,9,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,111
