adsorption_energy,adsorbate_formula,adsorbate_connectivity_smiles,termination,fraction,adsorbate_num_atoms,atomic_num_1,atomic_num_2,atomic_num_3,atomic_num_4,atomic_num_5,atomic_num_6,atomic_num_6.1,atomic_num_8,atomic_num_9,atomic_num_10,atomic_num_1.1,atomic_num_12,atomic_num_13,atomic_num_14,atomic_num_15,atomic_num_16,atomic_num_17,atomic_num_18,atomic_num_19,atomic_num_20,atomic_num_21,atomic_num_22,atomic_num_23,atomic_num_24,atomic_num_25,atomic_num_26,atomic_num_27,atomic_num_28,atomic_num_29,atomic_num_30,double,triple,termination_atomic_num,Fixed_Substrate,LatticeConstant1,facet,Substrate_Symmetry
-0.07,CH2OHCOHCHOH,OC[C]([CH]O)O,Pt,0.0625,12,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
0.11,CH2OHCHOHCOH,OCC([C]O)O,Pt,0.0625,12,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
0.49,CH2OHCHOHC(O),[O][C]C(CO)O,Pt,0.0625,11,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
0.7,CH2OHC(O)CHOH,OC[C]([CH]O)[O],Pt,0.0625,11,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
0.57,COHCHOHCOH,O[C]C([C]O)O,Pt,0.0625,10,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
0.82,CHOHCOHCH(O),[O][CH][C]([CH]O)O,Pt,0.0625,10,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
0.82,CHOHCOHC(O),[O][C][C]([CH]O)O,Pt,0.0625,9,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
2.45,C(O)C(O)C(O),[O][C][C]([C][O])[O],Pt,0.0625,6,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
-3.47,Cl,[Cl],Ag,0.1111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,False,4.074,211.0,1x3
-0.37,HCl,Cl,Cu,0.1111,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,False,3.567,100.0,3x3
-2.23,Na,[Na],Cu,0.1111,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,False,3.567,100.0,3x3
-0.51,COS,[O][C][S],Cu,0.1111,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29.0,False,3.567,111.0,3x3
-0.51,COS,[O][C][S],Cu,0.1111,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29.0,False,3.567,111.0,3x3
-3.29,Fe,[Fe],Cu,0.1111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.0,False,3.567,111.0,3x3
