adsorption_energy,exchange_correlation,potentials,adsorbate_formula,adsorbate_smiles,adsorbate_molecular_formula,adsorbate_connectivity_smiles,adsorption_measurement.bulk_surface_property_set.termination,adsorption_measurement.bulk_surface_property_set.space_group,adsorption_measurement.bulk_surface_property_set.bulk_surface_material.name,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_2,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_3,adsorption_measurement.bulk_surface_property_set.facet.name,adsorption_measurement.adsorbate_fraction.numeric,adsorption_measurement.adsorbate_fraction.unit,adsorption_measurement.adsorption_site.site_name,adsorbate_num_atoms,atomic_num_1,atomic_num_2,atomic_num_3,atomic_num_4,atomic_num_5,atomic_num_6,atomic_num_6,atomic_num_8,atomic_num_9,atomic_num_10,atomic_num_1,atomic_num_12,atomic_num_13,atomic_num_14,atomic_num_15,atomic_num_16,atomic_num_17,atomic_num_18,atomic_num_19,atomic_num_20,atomic_num_21,atomic_num_22,atomic_num_23,atomic_num_24,atomic_num_25,atomic_num_26,atomic_num_27,atomic_num_28,atomic_num_29,atomic_num_30,double,triple,termination_atomic_num,facet_num,software,spin_polarization,zero_point_energy,Fixed_Substrate,LatticeConstant1,facet,Substrate_Symmetry
-2.83,PW91,ultrasoft pseudopotential,O,[O],O,[O],Au,Fm3m,Au,,,(211),0.25,Au,h1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,211.0,Dacapo,True,False,False,4.18,211.0,3x2
-0.15,PW91,ultrasoft pseudopotential,O2,O=O,O2,[O][O],Au,Fm3m,Au,,,(211),0.1667,Au,top-bridge-top,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,211.0,Dacapo,True,False,False,4.18,211.0,3x2
-4.57,PW91,ultrasoft pseudopotential,O,[O],O,[O],Ir,Fm3m,Ir,,,(111),0.25,Ir,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,111.0,Dacapo,False,False,False,3.86,111.0,2x2
-1.27,PW91,ultrasoft pseudopotential,O2,O=O,O2,[O][O],Ir,Fm3m,Ir,,,(111),0.25,Ir,t-b-t,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77.0,111.0,Dacapo,False,False,False,3.86,111.0,2x2
-2.52,PW91,ultrasoft pseudopotential,NO,[N]=O,NO,[N][O],Rh,,Rh,,,(100),0.25,Rh,bridge,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.0,100.0,VASP,False,False,False,3.85,100.0,2x2
-2.72,PW91,ultrasoft pseudopotential,NO,[N]=O,NO,[N][O],Rh,,Rh,,,(110),0.25,Rh,short bridge,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.0,110.0,VASP,False,False,False,3.85,110.0,2x2
-2.57,PW91,ultrasoft pseudopotential,NO,[N]=O,NO,[N][O],Rh,,Rh,,,(111),0.25,Rh,hollow hcp,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.0,111.0,VASP,False,False,False,3.85,111.0,2x2
-2.64,PW91,ultrasoft pseudopotential,NO,[N]=O,NO,[N][O],Rh,,Rh,,,(100),0.0625,Rh,bridge,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.0,100.0,VASP,False,False,False,3.85,100.0,4x4
-0.41,PW91,ultrasoft pseudopotential,HCOOH,OC=O,HCOOH,O[CH][O],Pd,,Pd,,,(111),0.1111,Pd,top-bridge,5,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.0,111.0,Dacapo,False,False,True,3.99,111.0,3x3
-2.34,PW91,ultrasoft pseudopotential,HCOO,[O]C=O,HCOO,[O][CH][O],Pd,,Pd,,,(111),0.1111,Pd,top-top,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.0,111.0,Dacapo,False,False,True,3.99,111.0,3x3
